Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,Activeness,LateMinutes,daySteps
1644430081,2016-04-30,1,124,142,Moderate,18,18213
2347167796,2016-04-14,1,445,489,High,44,10129
3977333714,2016-04-16,1,283,510,High,227,13459
3977333714,2016-04-17,1,381,566,High,185,10415
3977333714,2016-04-19,1,219,395,High,176,12414
3977333714,2016-04-23,1,235,372,High,137,12058
3977333714,2016-04-30,1,237,382,High,145,13238
3977333714,2016-05-02,1,230,384,High,154,16520
3977333714,2016-05-04,1,213,336,High,123,13559
3977333714,2016-05-05,1,318,480,High,162,12312
3977333714,2016-05-06,1,323,512,High,189,11677
3977333714,2016-05-07,1,237,443,High,206,11550
3977333714,2016-05-10,1,312,452,High,140,13072
4319703577,2016-04-27,1,286,307,Moderate,21,10780
4388161847,2016-04-27,1,439,500,High,61,11193
4388161847,2016-05-05,1,471,495,High,24,9603
4388161847,2016-05-05,1,471,495,High,24,9603
4388161847,2016-05-07,1,472,496,High,24,22770
4702921684,2016-04-17,1,591,612,Moderate,21,12692
4702921684,2016-04-23,1,465,475,Moderate,10,15126
4702921684,2016-05-10,1,416,431,Moderate,15,10613
5577150313,2016-04-15,1,392,413,Moderate,21,12087
5577150313,2016-04-16,1,406,445,Moderate,39,14269
5577150313,2016-04-17,1,549,583,Moderate,34,12231
5577150313,2016-04-21,1,414,437,Moderate,23,10830
5577150313,2016-04-24,1,543,615,Moderate,72,15764
5577150313,2016-04-30,1,412,433,Moderate,21,12363
5577150313,2016-05-01,1,379,398,Moderate,19,13368
5577150313,2016-05-10,1,504,562,Moderate,58,8869
6962181067,2016-05-02,1,466,482,High,16,12912
7086361926,2016-04-19,1,472,483,High,11,10688
7086361926,2016-04-22,1,428,448,High,20,9753
7086361926,2016-04-28,1,354,367,High,13,11584
7086361926,2016-05-09,1,427,438,High,11,13566
8792009665,2016-04-23,1,339,360,Low,21,5245
1644430081,2016-04-29,1,119,127,Moderate,8,3176
1644430081,2016-05-08,1,137,154,Moderate,17,6724
1844505072,2016-04-15,1,644,961,Low,317,3844
1844505072,2016-04-30,1,722,961,Low,239,4014
1927972279,2016-04-13,1,398,422,Low,24,356
1927972279,2016-04-28,1,166,178,Low,12,1675
2026352035,2016-04-13,1,531,565,Moderate,34,4993
2026352035,2016-04-14,1,545,568,Moderate,23,3335
2026352035,2016-04-15,1,523,573,Moderate,50,3821
2026352035,2016-04-16,1,524,567,Moderate,43,2547
2026352035,2016-04-17,1,437,498,Moderate,61,838
2026352035,2016-04-19,1,498,540,Moderate,42,2424
2026352035,2016-04-20,1,461,510,Moderate,49,7222
2026352035,2016-04-21,1,477,514,Moderate,37,2467
2026352035,2016-04-22,1,520,545,Moderate,25,2915
2026352035,2016-04-23,1,522,554,Moderate,32,12357
2026352035,2016-04-24,1,555,591,Moderate,36,3490
2026352035,2016-04-25,1,506,531,Moderate,25,6017
2026352035,2016-04-27,1,508,545,Moderate,37,6088
2026352035,2016-04-28,1,513,545,Moderate,32,6375
2026352035,2016-04-29,1,490,510,Moderate,20,7604
2026352035,2016-04-30,1,573,607,Moderate,34,4729
2026352035,2016-05-01,1,527,546,Moderate,19,3609
2026352035,2016-05-02,1,511,543,Moderate,32,7018
2026352035,2016-05-04,1,538,560,Moderate,22,6564
2026352035,2016-05-05,1,468,485,Moderate,17,12167
2026352035,2016-05-06,1,524,548,Moderate,24,8198
2026352035,2016-05-08,1,541,568,Moderate,27,5528
2026352035,2016-05-09,1,531,556,Moderate,25,10685
2026352035,2016-05-10,1,357,380,Moderate,23,254
2026352035,2016-05-11,1,523,553,Moderate,30,8580
2026352035,2016-05-12,1,456,485,Moderate,29,8891
2320127002,2016-04-23,1,61,69,Low,8,5079
2347167796,2016-04-24,1,442,459,High,17,9471
2347167796,2016-04-26,1,436,490,High,54,5980
2347167796,2016-04-28,1,408,450,High,42,5439
2347167796,2016-04-29,1,411,473,High,62,42
3977333714,2016-04-21,1,332,512,High,180,6093
4020332650,2016-05-03,1,322,332,Low,10,4496
4020332650,2016-05-06,1,385,408,Low,23,4369
